title,uri,status
A HORSE WITH NO NAME CHORDS by America @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/america/a-horse-with-no-name-chords-59609,Downloaded
ACCIDENTALLY IN LOVE CHORDS by Counting Crows @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/counting-crows/accidentally-in-love-chords-128241,Downloaded
AFRICA CHORDS by Toto @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/toto/africa-chords-87063,Downloaded
BASKET CASE CHORDS (ver 4) by Green Day @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/green-day/basket-case-chords-955966,Downloaded
CANT HELP FALLING IN LOVE CHORDS by Elvis Presley @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/elvis-presley/cant-help-falling-in-love-chords-1086983,Downloaded
CREEP CHORDS by Radiohead @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/radiohead/creep-chords-4169,Downloaded
DEMONS CHORDS (ver 2) by Imagine Dragons @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/imagine-dragons/demons-chords-1149539,Downloaded
DONT FEAR THE REAPER CHORDS (ver 2) by Blue Öyster Cult @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/1044467,Downloaded
FEELING GOOD CHORDS by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/feeling-good-chords-815018,Downloaded
FREE FALLIN CHORDS by Tom Petty @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/tom-petty/free-fallin-chords-5655,Downloaded
HEY JUDE CHORDS (ver 7) by The Beatles @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/the-beatles/hey-jude-chords-1061739,Downloaded
HEY THERE DELILAH CHORDS (ver 2) by Plain White T's @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/plain-white-ts/hey-there-delilah-chords-337676,Downloaded
HIT THE ROAD JACK CHORDS by Ray Charles @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/ray-charles/hit-the-road-jack-chords-168021,Downloaded
HOLD THE LINE CHORDS (ver 2) by Toto @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/toto/hold-the-line-chords-1012428,Downloaded
HOUSE OF THE RISING SUN CHORDS by The Animals @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/the-animals/house-of-the-rising-sun-chords-18688,Downloaded
"JOHNNY B GOODE CHORDS by Chuck Berry for guitar, ukulele, piano at Ultimate-Guitar",https://tabs.ultimate-guitar.com/tab/chuck-berry/johnny-b-goode-chords-61918,Downloaded
"JOLENE CHORDS (ver 2) by Dolly Parton for guitar, ukulele, piano at Ultimate-Guitar",https://tabs.ultimate-guitar.com/tab/dolly-parton/jolene-chords-183019,Downloaded
LEMON TREE CHORDS (ver 2) by Fool's Garden @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/fools-garden/lemon-tree-chords-607747,Downloaded
LONG TRAIN RUNNIN CHORDS (ver 3) by The Doobie Brothers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/the-doobie-brothers/long-train-runnin-chords-1755513,Downloaded
RADIOACTIVE CHORDS by Imagine Dragons @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/imagine-dragons/radioactive-chords-1171909,Downloaded
